t,y_sinc
70.58313702831238,-9.181544946925177
70.59313747277658,-9.220316230590118
70.60313791724077,-9.258244431140628
70.61313836170497,-9.29532408472609
70.62313880616917,-9.33154980317143
70.63313925063336,-9.366916273977123
70.64313969509756,-9.401418260319183
70.65314013956177,-9.435050601861445
70.66314058402597,-9.46780821452724
70.67314102849016,-9.499686091238098
70.68314147295436,-9.530679304902236
70.69314191741856,-9.560783008461257
70.70314236188275,-9.58999243489015
70.71314280634695,-9.61830289735917
70.72314325081115,-9.645709790443615
70.73314369527534,-9.672208588504771
70.74314413973956,-9.697794849312459
70.75314458420375,-9.722464214840357
70.76314502866795,-9.746212411266246
70.77314547313215,-9.769035248971836
70.78314591759634,-9.7909286232096
70.79314636206054,-9.811888514159723
70.80314680652474,-9.831910986886939
70.81314725098893,-9.850992194536252
70.82314769545313,-9.869128378436953
70.83314813991734,-9.886315868102663
70.84314858438154,-9.902551081231223
70.85314902884573,-9.917830524786575
70.86314947330993,-9.932150793960028
70.87314991777413,-9.945508573688233
70.88315036223833,-9.957900640858496
70.89315080670252,-9.969323864309612
70.90315125116672,-9.979775204831858
70.91315169563092,-9.989251715169866
70.92315214009513,-9.99775054141139
70.93315258455932,-10.005268921150464
70.94315302902352,-10.011804185445513
70.95315347348772,-10.0173537609494
70.96315391795191,-10.021915169909429
70.97315436241611,-10.02548603016736
70.98315480688031,-10.028064055159392
70.9931552513445,-10.029647054467532
71.0031556958087,-10.030232934718528
71.01315614027291,-10.029819696832897
71.02315658473711,-10.028405440464716
71.0331570292013,-10.02598836447124
71.0431574736655,-10.022566766912904
71.0531579181297,-10.018139045053324
71.0631583625939,-10.012703695359294
71.07315880705809,-10.006259313557434
71.08315925152229,-9.998804595975734
71.0931596959865,-9.990338337711906
71.1031601404507,-9.980859435139333
71.1131605849149,-9.970366887035693
71.12316102937909,-9.958859794582999
71.13316147384329,-9.946337361367586
71.14316191830748,-9.932798893380122
71.15316236277168,-9.918243799145642
71.16316280723588,-9.90267159088366
71.17316325170007,-9.88608188276519
71.18316369616429,-9.868474393478802
71.19316414062848,-9.849848946915667
71.20316458509268,-9.8302054721694
71.21316502955688,-9.80954400353616
71.22316547402107,-9.78786468051463
71.23316591848527,-9.765167747992884
71.24316636294947,-9.741453557136408
71.25316680741366,-9.716722564421158
71.26316725187786,-9.69097533369041
71.27316769634207,-9.664212536476718
71.28316814080627,-9.636434952002068
71.29316858527046,-9.607643467177645
71.30316902973466,-9.577839076604059
71.31316947419886,-9.547022883405962
71.32316991866306,-9.515196098883202
71.33317036312725,-9.482360043243212
71.34317080759145,-9.448516146735898
71.35317125205565,-9.413665949653646
71.36317169651986,-9.377811102331266
71.37317214098405,-9.340953365146206
71.38317258544825,-9.303094609029166
71.39317302991245,-9.264236816094055
71.40317347437664,-9.224382079160886
71.41317391884084,-9.183532603547865
71.42317436330504,-9.141690707143953
71.43317480776923,-9.098858820408854
71.44317525223344,-9.05503948637296
71.45317569669764,-9.010235360865549
71.46317614116184,-8.964449214153767
71.47317658562604,-8.917683929386067
71.48317703009023,-8.869942504929277
71.49317747455443,-8.8212280548763
71.50317791901863,-8.771543809046113
71.51317836348282,-8.720893112983763
71.52317880794702,-8.669279427960376
71.53317925241123,-8.61670633251531
71.54317969687543,-8.563177522938375
71.55318014133962,-8.508696812501277
71.56318058580382,-8.453268134669278
71.57318103026802,-8.396895543143051
71.58318147473221,-8.339583211858677
71.59318191919641,-8.281335434987653
71.60318236366061,-8.222156626948582
71.6131828081248,-8.162051325547873
71.62318325258902,-8.101024191965111
71.63318369705321,-8.039080011506885
71.64318414151741,-7.976223695759844
71.6531845859816,-7.912460282591053
71.6631850304458,-7.8477949361479
71.67318547491,-7.782232948905625
71.6831859193742,-7.715779743342387
71.6931863638384,-7.6484408729397595
71.70318680830259,-7.580222024731298
71.7131872527668,-7.511129019307005
71.723187697231,-7.441167811635612
71.7331881416952,-7.3703444944453675
71.74318858615939,-7.298665299022568
71.75318903062359,-7.226136598845146
71.76318947508778,-7.1527649098329515
71.77318991955198,-7.078556892426306
71.78319036401618,-7.00351935387809
71.79319080848039,-6.927659251910663
71.80319125294459,-6.85098369800291
71.81319169740878,-6.773499957566925
71.82319214187298,-6.695215454076619
71.83319258633718,-6.616137771543926
71.84319303080137,-6.536274660527181
71.85319347526557,-6.45563403969219
71.86319391972977,-6.37422399883765
71.87319436419396,-6.292052803251083
71.88319480865817,-6.209128900252501
71.89319525312237,-6.125460922257187
71.90319569758657,-6.041057690675099
71.91319614205077,-5.95592822135321
71.92319658651496,-5.870081732823734
71.93319703097916,-5.783527649286226
71.94319747544336,-5.696275606678209
71.95319791990755,-5.6083354612099745
71.96319836437175,-5.5197172962729395
71.97319880883596,-5.430431427755348
71.98319925330016,-5.340488413255689
71.99319969776435,-5.249899062244231
72.00320014222855,-5.158674441849107
72.01320058669275,-5.066825887187976
72.02320103115694,-4.9743650138465005
72.03320147562114,-4.881303724893135
72.04320192008534,-4.787654223253348
72.05320236454953,-4.6934290257477
72.06320280901375,-4.598640971681808
72.07320325347794,-4.503303238523496
72.08320369794214,-4.407429356353569
72.09320414240634,-4.311033219033494
72.10320458687053,-4.214129103738
72.11320503133473,-4.116731684906501
72.12320547579893,-4.01885604971857
72.13320592026312,-3.9205177203709813
72.14320636472732,-3.821732667599191
72.15320680919153,-3.722517333449818
72.16320725365573,-3.6228886516173686
72.17320769811992,-3.5228640652649243
72.18320814258412,-3.4224615547503627
72.19320858704832,-3.3216996550104163
72.20320903151251,-3.2205974828170123
72.21320947597671,-3.1191747615388294
72.22320992044091,-3.0174518427732653
72.23321036490512,-2.9154497390186243
72.24321080936932,-2.8131901435871547
72.25321125383351,-2.7106954636618474
72.26321169829771,-2.607988846240137
72.2732121427619,-2.505094204510021
72.2832125872261,-2.4020362527465196
72.2932130316903,-2.298840527222909
72.3032134761545,-2.1955334234014696
72.3132139206187,-2.0921422192888497
72.3232143650829,-1.9886951048305817
72.3332148095471,-1.8852212142855567
72.3432152540113,-1.7817506444479478
72.3532156984755,-1.6783144905912035
72.36321614293969,-1.5749448631197418
72.37321658740389,-1.4716749111879168
72.38321703186809,-1.3685388486346686
72.39321747633228,-1.2655719599949051
72.40321792079648,-1.1628106246985874
72.41321836526069,-1.0602923244164326
72.42321880972489,-0.9580556409210282
72.43321925418908,-0.8561402695593862
72.44321969865328,-0.7545870081520367
72.45322014311748,-0.6534377387426605
72.46322058758167,-0.5527354224086823
72.47322103204587,-0.45252407274682105
72.48322147651007,-0.3528487127587321
72.49322192097426,-0.25375532409527785
72.50322236543848,-0.15529083092085494
72.51322280990267,-0.05750301195227356
72.52322325436687,0.039559579793494615
72.53322369883107,0.13584768842757838
72.54322414329526,0.23131143918229113
72.55322458775946,0.32590046697855646
72.56322503222366,0.41956403410033716
72.57322547668785,0.5122511350894845
72.58322592115206,0.6039106680587846
72.59322636561626,0.6944915892219709
72.60322681008046,0.7839430462901607
72.61322725454465,0.8722145932833565
72.62322769900885,0.9592563643650368
72.63322814347305,1.0450192372035831
72.64322858793724,1.1294550866228827
72.65322903240144,1.2125169598791325
72.66322947686564,1.294159260751167
72.67322992132985,1.3743380273988595
72.68323036579405,1.453011095673764
72.69323081025824,1.5301382827831893
72.70323125472244,1.6056816665642741
72.71323169918664,1.6796057244563252
72.72323214365083,1.7518774970198683
72.73323258811503,1.822466829056933
72.74323303257923,1.8913464782867684
72.75323347704342,1.9584922388789674
72.76323392150763,2.023883112371821
72.77323436597183,2.087501367665871
72.78323481043603,2.14933261626561
72.79323525490022,2.2093658900230704
72.80323569936442,2.2675936421888694
