timestamp,tiempo_difusion_segundos,tiempo_rossler_segundos,tiempo_confusion_segundos,tiempo_mqtt_segundos,tiempo_programa_segundos
12-19 16:34:32,0.46383152099951985,7.7790643609987455,7.786237429998437,1.6690067669987911,9.96666227300011
12-19 16:45:36,0.4898251230006281,8.010957069000142,8.017835091999586,1.75940962200184,10.309925231998932
12-19 16:47:11,0.6931082359988068,10.246322785002121,10.253885547997925,1.6499078370034113,12.65142802400078
12-19 16:48:36,1.322702196001046,17.73403944900201,17.74089724299847,1.759530324001389,20.940588407000178
12-19 16:49:36,0.4871889440000814,7.819030458002089,7.825656217999494,1.6472495009984414,10.003217304998543
12-19 17:00:21,0.47285864899822627,12.276753656999063,12.283754848998797,1.7568073719994572,14.580933230998198
12-19 17:00:58,0.45152741499987314,7.880241494996881,7.8869860419981705,1.6714190279999457,10.053075750998687
12-19 17:01:32,0.45693024800129933,7.753685433999635,7.760280165999575,1.6588575829991896,9.919822126998042
12-19 17:49:59,0.4834248299994215,7.921596902000601,7.928194666001218,1.7513000529979763,10.209615088002465
12-19 17:53:01,0.4562780449996353,7.866312279002159,7.873024685002747,1.7619253919983748,10.138651491000928
12-19 17:54:29,0.4590474120013823,7.905849999002385,7.912482127001567,1.6568517909981892,10.07205509599953
12-19 17:59:02,0.48161229999823263,11.655007348999789,11.66217838800003,1.751928030000272,13.94315983299748
12-19 18:00:12,0.46057225999902585,11.175905908999994,11.182494312997733,1.6480133660006686,13.338542437999422
