timestamp,tiempo_difusion_segundos,tiempo_rossler_segundos,tiempo_confusion_segundos,tiempo_mqtt_segundos,tiempo_programa_segundos
11-26 01:49:42,1.1949554840000474,7.402332801000057,7.404688288999978,4.1535400600000685,13.523050516000012
11-26 02:08:34,1.1411952190001102,6.201851413999975,6.20445411899982,0.4996182419999968,7.880816594999942
11-26 02:09:55,1.1782976670001517,6.305104904000018,6.307338459000221,0.50807496599964,8.030114588999822
11-26 02:23:34,3.1523668580002777,16.889075301000048,16.89580725199994,1.3884588629998689,21.510869122999793
11-26 13:45:29,3.2688514220008074,18.596122372000536,18.602428715001224,1.1501549770000565,23.10350698000002
11-26 14:38:39,1.1345946070032369,6.253918934002286,6.256124339000962,0.4932920760002162,7.911656690997916
11-26 15:48:19,1.141068588996859,6.202717832002236,6.204900913002348,0.8900664659995527,8.262933599999087
11-26 15:51:40,1.13503426600073,6.265830839001865,6.268185163000453,1.396330821000447,8.826961533999565
12-10 14:04:51,1.1261118870006612,6.348563493999791,6.350814638999509,1.5404802410002958,9.045994981000149
12-10 14:05:37,1.1549917840002308,6.336602846999995,6.340011154000422,1.432946271000219,8.960019938000187
12-10 14:07:14,1.1306819129995347,6.2806933550000394,6.28292508999948,1.5266715660000045,8.968145812999865
12-10 14:11:44,3.1624360509995313,17.255909440999858,17.261938536999878,2.188131366999187,22.668065791999652
12-10 14:13:01,3.18810674100132,5.223764390000724,5.230830627999239,2.0849518830000306,10.560405861999243
12-10 14:56:11,3.1602235910013405,5.604306991001067,5.612201175999871,2.3321594070002902,11.164913042999615
12-10 15:11:08,3.1968515230000776,5.1903541709998535,5.19718131099944,2.187527048001357,10.652850013999341
12-10 15:24:50,3.1221876360013994,5.224216683000122,5.2312639449992275,2.182865282000421,10.59227433399974
12-10 16:03:31,3.1816352149999148,5.235119606999433,5.242199984000763,2.8960141479983577,11.405236270000387
