timestamp,tiempo_difusion_segundos,tiempo_rossler_segundos,tiempo_confusion_segundos,tiempo_mqtt_segundos,tiempo_programa_segundos
11-26 17:02:51,1.1271283579990268,1.8995297539986495,1.9027072059980128,1.2279760640012682,4.306566336999822
11-26 17:11:04,1.133981794999272,1.9506934080018254,1.9539719579988741,1.2244854199998372,4.334954026002379
12-01 18:31:20,1.1296962590022304,1.906529572999716,1.9095421099991654,1.2216512400009378,4.297062757003005
12-02 19:25:33,1.1181275280032423,1.9062625459991978,1.9096731019999424,1.2193638280004961,4.28730442899905
12-02 20:08:41,1.1460789920020034,1.934861933998036,1.9380701280024368,1.2566990590021305,4.363275373998476
12-02 22:56:26,1.1420315549999032,1.9367414620001,1.9397969249998823,11.384179159999803,14.487657955000032
12-03 00:23:12,1.1470105919997877,0.3430956110000807,0.346047980999856,11.504635215000008,13.036767085000065
12-03 00:25:25,1.1330685910002103,0.418633685000259,0.4216164259996731,11.464845104999767,13.04221078799992
12-03 00:30:34,1.1485691839998253,0.34623659199996837,0.34923187000003963,11.30149808599981,12.82193145500014
12-03 00:34:29,1.1381679989999611,0.40637188900018373,0.4093005369995808,11.49111710399984,13.062084546999813
12-03 00:38:32,3.148976923999726,0.40722477700001036,0.41358786999990116,11.742188418999831,15.339223082999979
12-03 00:59:09,3.127729738999733,0.563175518999742,0.5696766849996493,11.598178012000062,15.329132082999422
